Name,Rating,Reviews,Address,Website,Phone,Email,关键词,区域,抓取时间
SANTEHMAG.RU | Сантехника,,,"地址: Rostovskaya Naberezhnaya, 1, Moscow, 俄罗斯119121 ",https://interior-market.ru/,电话: +7 495 545-05-51 ,"info@interior-market.ru, k.kruglikova@interior-market.ru, a.ivanova@interior-market.ru",Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:37
SantehRuss,,,"地址: Andropova Ave, дом 38, корпус 3, офис №408, Moscow, 俄罗斯115487 ",https://www.santehmag.ru/,电话: +7 495 790-87-49 ,info@santehmag.ru,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:37
Roomer,,,"地址: БП ""Румянцево"", корпус В, этаж 2, павильон B205, Moscow, 俄罗斯108811 ",,电话: +7 495 645-17-27 ,,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:37
Santekh-Import,,,"地址: Ulitsa Leninskaya Sloboda, 26, Moscow, 俄罗斯115280 ",https://roomer.ru/,电话: +7 495 568-05-68 ,,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:37
Rusaliya,,,"地址: ТЦ ""Метр квадратный"", Волгоградский пр-кт, 32, к. 25, Moscow, 俄罗斯109316 ",http://santeh-import.ru/,电话: +7 800 700-77-71 ,,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:38
Сантехника.ру,,,"地址: Polyarnaya Ulitsa, 41, Moscow, 俄罗斯127282 ",https://rusalia.ru/,电话: +7 499 409-51-10 ,info@rusalia.ru,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:38
ОФИЦИАЛЬНЫЙ САЛОН RAVAK,,,"地址: Yuzhnoportovaya Ulitsa, 32. 11, Moscow, 俄罗斯115088 ",http://www.santehnica.ru/,电话: +7 495 649-88-32 ,mail@santehnica.ru,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:38
Компания KONZEPT,,,"地址: Leningradsky Ave, 72стр2, Moscow, 俄罗斯125315 ",https://www.ravak.ru/,电话: +7 495 730-52-67 ,,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:39
Хром,,,"地址: 5-th Donskoy Passage, 17, Moscow, 俄罗斯119334 ",,电话: +7 495 935-79-44 ,,Bathroom furniture distributor,", Moscow, Russia, ",2026-05-14 18:39
Sanbest,,,,,,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:37
"Inter'yer Market - Mebel', Santekhnika, Kukhni",,,"地址: Логистический центр Славянский Мир, корпус 7, Moscow, 俄罗斯143085 ",https://sanbest.ru/,电话: +7 495 565-35-88 ,sale@sanbest.ru,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:37
SantehRuss,,,"地址: Логистический центр Славянский Мир, корпус 7, Moscow, 俄罗斯143085 ",https://sanbest.ru/,电话: +7 495 565-35-88 ,sale@sanbest.ru,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:37
Dom Santekhniki,,,"地址: Московская Кольцевая Автомобильная дорога, пав.55, Калужское ш., 4, стр.1, Moscow, 俄罗斯117465 ",http://www.dom-san.ru/,电话: +7 495 212-18-83 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:37
Jacob Delafon Флагманский шоу-рум,,,"地址: Smolenskaya Ulitsa, 10 стр. 1, Moscow, 俄罗斯121099 ",https://jacobdelafon-store.ru/,电话: +7 495 798-64-43 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:38
"Dushlyuks, Ofis Magazina Elitnoy Santekhniki",,,"地址: Smolenskaya Ulitsa, 10 стр. 1, Moscow, 俄罗斯121099 ",https://jacobdelafon-store.ru/,电话: +7 495 798-64-43 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:38
Dushlyuks - Magazin Elitnoy Santekhniki,,,"地址: Khodynskiy Bul'var, 20А, Moscow, 俄罗斯125252 ",https://dushlux.ru/,电话: +7 495 925-26-33 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:38
"SantehReh.com, plumbing shop",,,"地址: Gruzinskiy Pereulok, 8, Moscow, 俄罗斯123056 ",,电话: +7 903 524-57-01 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:38
Remosantekh,,,"地址: Gruzinskiy Pereulok, 8, Moscow, 俄罗斯123056 ",,电话: +7 903 524-57-01 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:38
Stn - Sovremennyye Tekhnologii Nagreva,,,"地址: Ulitsa Il'inka, 4, Moscow, 俄罗斯109012 ",https://stnmoscow.ru/,电话: +7 495 783-50-55 ,sale@stnmoscow.ru,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:39
Aspa,,,"地址: Bolshaya Gruzinskaya St, 42, Moscow, 俄罗斯123056 ",http://www.aspadom.ru/,电话: +7 495 775-44-25 ,,Kitchen and bath supplier,", Moscow, Russia, ",2026-05-14 18:39
"сантехника оптом ""SanRoyal"" Официальный представитель продукции ''Ganzer""",,,"地址: ул. Подмосковная, 7, Сосенское, Moscow, 俄罗斯125362 ",http://ganzer.com.de/,电话: +7 499 499-60-90 ,control@sanroyal.ru,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:35
Geberit Shop - магазин сантехники GEBERIT,,,"地址: Business Base ""Degunino"", Dubninskaya Ulitsa, 75 Б стр. 2, Moscow, 俄罗斯127591 ",http://geberit-shop.ru/,电话: +7 495 663-71-28 ,"op@expert-santehniki.ru, zakaz@expert-santehniki.ru",Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:36
Rusaliya,,,"地址: Polyarnaya Ulitsa, 41, Moscow, 俄罗斯127282 ",https://rusalia.ru/,电话: +7 499 409-51-10 ,info@rusalia.ru,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:36
Khogart,,,"地址: Ulitsa Polyany, 52, Moscow, 俄罗斯117042 ",https://hogart.ru/,电话: +7 495 788-11-12 ,,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:36
"Inter'yer Market - Mebel', Santekhnika, Kukhni",,,"地址: Rostovskaya Naberezhnaya, 1, Moscow, 俄罗斯119121 ",https://interior-market.ru/,电话: +7 495 545-05-51 ,"info@interior-market.ru, k.kruglikova@interior-market.ru, a.ivanova@interior-market.ru",Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:36
Vodoley-Stayl,,,"地址: Ulitsa Admirala Makarova, дом 6, строение 13, Moscow, 俄罗斯125212 ",https://vodoley-style.ru/,电话: +7 495 274-06-36 ,info@vodoley-style.ru,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:37
Dlyavann,,,"地址: 4-Ya Parkovaya Ulitsa, 11, Mytishchi, Moscow Oblast, 俄罗斯141011 ",http://dlyavann.ru/,电话: +7 495 582-10-01 ,,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:37
"Ooo ""Santim""",,,"地址: Novocheremushkinskaya Ulitsa, 59, Moscow, 俄罗斯117418 ",https://www.san.team/,电话: +7 800 700-20-65 ,,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:37
Onlayn Gipermarket Santekhniki,,,"地址: Днепропетровская д 5 кор 3, кв 69, Moscow, 俄罗斯109012 ",http://kab24.ru/,电话: +7 495 741-10-76 ,,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:38
Santekhkomplekt Ooo,,,"地址: Belokamennoye Shosse, 1, Vidnoye, Moscow Oblast, 俄罗斯142703 ",https://www.santech.ru/,电话: +7 495 645-00-00 ,,Sanitary ware wholesale,", Moscow, Russia, ",2026-05-14 18:38
